Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
clearscope,ProcessNetflow,GMVAE,0.7503,0.1927,0.375,0.3333,0.3529,0.9524,0.005
clearscope,ProcessNetflow,Attention AE,0.8193,0.2575,0.6,0.3333,0.4286,0.9654,0.005
clearscope,ProcessNetflow,LSTMAE,0.8208,0.1947,0.3077,0.4444,0.3636,0.9394,0.007
clearscope,ProcessNetflow,Robust,0.8819,0.2463,0.1875,1.0,0.3158,0.8312,0.0055
clearscope,ProcessNetflow,Contractive,0.7382,0.1654,0.4,0.2222,0.2857,0.9567,0.005
clearscope,ProcessParent,Baseline,,0.0,0.0,0.0,0.0,0.0,0.0091
clearscope,ProcessParent,Sparse,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,Deep SVDD,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,DAE,,0.0,0.0,0.0,0.0,0.0,0.0095
clearscope,ProcessParent,VAE,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,Beta-VAE,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,GMVAE,,0.0,0.0,0.0,0.0,0.0,0.006
clearscope,ProcessParent,Attention AE,,0.0,0.0,0.0,0.0,0.0,0.0101
clearscope,ProcessParent,LSTMAE,,0.0,0.0,0.0,0.0,0.0,0.0035
clearscope,ProcessParent,Robust,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,Contractive,,0.0,0.0,0.0,0.0,0.0,0.004
theia,ProcessAll,Baseline,0.997,0.5985,0.75,0.57,0.6477,0.9989,0.0545
theia,ProcessAll,Sparse,0.8555,0.0093,0.0161,0.35,0.0308,0.9606,0.0557
theia,ProcessAll,Deep SVDD,0.4999,0.0018,0.0018,1.0,0.0036,0.0018,0.0253
theia,ProcessAll,DAE,0.9703,0.1115,0.2486,0.44,0.3177,0.9966,0.0534
theia,ProcessAll,VAE,0.8477,0.0072,0.0111,0.34,0.0216,0.9449,0.0611
theia,ProcessAll,Beta-VAE,0.8413,0.0069,0.0116,0.35,0.0224,0.9454,0.0637
theia,ProcessAll,GMVAE,0.841,0.0087,0.0156,0.4,0.0301,0.9539,0.0585
theia,ProcessAll,Attention AE,0.859,0.0089,0.0148,0.35,0.0285,0.9573,0.08
theia,ProcessAll,LSTMAE,0.9962,0.5123,0.6883,0.53,0.5989,0.9987,0.0683
theia,ProcessAll,Robust,0.999,0.7355,0.8657,0.58,0.6946,0.9991,0.0493
theia,ProcessAll,Contractive,0.8454,0.009,0.0161,0.35,0.0308,0.9606,0.0524
theia,ProcessEvent,Baseline,0.9991,0.6631,0.6541,0.87,0.7468,0.9989,0.0572
theia,ProcessEvent,Sparse,0.7644,0.0203,0.0409,0.47,0.0752,0.9787,0.047
theia,ProcessEvent,Deep SVDD,0.555,0.1108,0.9167,0.11,0.1964,0.9983,0.0359
theia,ProcessEvent,DAE,0.9168,0.0422,0.0767,0.66,0.1374,0.9847,0.049
theia,ProcessEvent,VAE,0.7373,0.0063,0.0125,0.41,0.0242,0.9391,0.0569
theia,ProcessEvent,Beta-VAE,0.7364,0.0062,0.0127,0.42,0.0246,0.9387,0.0564
theia,ProcessEvent,GMVAE,0.7564,0.0119,0.0213,0.48,0.0408,0.9583,0.0553
theia,ProcessEvent,Attention AE,0.7556,0.0108,0.0189,0.48,0.0363,0.953,0.0832
theia,ProcessEvent,LSTMAE,0.9969,0.4695,0.5686,0.58,0.5743,0.9984,0.0632
theia,ProcessEvent,Robust,0.9995,0.8801,0.8511,0.8,0.8247,0.9994,0.0479
theia,ProcessEvent,Contractive,0.7538,0.0102,0.0174,0.48,0.0337,0.9492,0.0556
theia,ProcessExec,Baseline,0.9474,0.833,0.7667,0.92,0.8364,0.9994,0.0645
theia,ProcessExec,Sparse,0.8993,0.0278,0.0609,0.19,0.0922,0.9933,0.048
theia,ProcessExec,Deep SVDD,0.8649,0.6964,0.9125,0.73,0.8111,0.9994,0.0249
theia,ProcessExec,DAE,0.953,0.3461,0.3985,0.53,0.4549,0.9977,0.0481
theia,ProcessExec,VAE,0.8851,0.014,0.0278,0.51,0.0528,0.9672,0.0565
theia,ProcessExec,Beta-VAE,0.8852,0.0139,0.0288,0.53,0.0546,0.9671,0.0567
theia,ProcessExec,GMVAE,0.8889,0.0276,0.0609,0.19,0.0922,0.9933,0.0543
theia,ProcessExec,Attention AE,0.8962,0.0275,0.0603,0.19,0.0916,0.9932,0.0778
theia,ProcessExec,LSTMAE,0.9447,0.78,0.807,0.92,0.8598,0.9995,0.07
theia,ProcessExec,Robust,0.9663,0.8236,0.8835,0.91,0.8966,0.9996,0.0556
theia,ProcessExec,Contractive,0.897,0.019,0.0344,0.53,0.0646,0.9724,0.058
theia,ProcessNetflow,Baseline,0.9899,0.7768,0.9565,0.66,0.7811,0.9962,0.018
theia,ProcessNetflow,Sparse,0.9693,0.264,0.3322,0.97,0.4949,0.9796,0.0132
theia,ProcessNetflow,Deep SVDD,0.9953,0.843,0.7021,0.99,0.8216,0.9956,0.0091
theia,ProcessNetflow,DAE,0.9738,0.2677,0.3333,0.98,0.4975,0.9796,0.0128
theia,ProcessNetflow,VAE,0.9695,0.189,0.3226,0.9,0.4749,0.9795,0.014
theia,ProcessNetflow,Beta-VAE,0.9651,0.1845,0.3227,0.91,0.4764,0.9794,0.0137
theia,ProcessNetflow,GMVAE,0.9723,0.1926,0.3311,0.98,0.4949,0.9794,0.0145
theia,ProcessNetflow,Attention AE,0.9699,0.256,0.3322,0.97,0.4949,0.9796,0.0166
theia,ProcessNetflow,LSTMAE,0.9927,0.9433,0.9252,0.99,0.9565,0.9991,0.0149
theia,ProcessNetflow,Robust,0.9925,0.8921,0.9252,0.99,0.9565,0.9991,0.0111
theia,ProcessNetflow,Contractive,0.9701,0.2633,0.3311,0.97,0.4936,0.9795,0.012
theia,ProcessParent,Baseline,0.9485,0.3257,0.5268,0.59,0.5566,0.9983,0.0514
theia,ProcessParent,Sparse,0.959,0.5364,0.8923,0.58,0.703,0.9991,0.0486
theia,ProcessParent,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0036,0.0018,0.0245
theia,ProcessParent,DAE,0.9155,0.5181,0.8788,0.58,0.6988,0.9991,0.0475
theia,ProcessParent,VAE,0.9552,0.1635,0.3051,0.54,0.3899,0.997,0.0532
theia,ProcessParent,Beta-VAE,0.9553,0.1631,0.3068,0.54,0.3913,0.997,0.0536
theia,ProcessParent,GMVAE,0.9591,0.5357,0.8923,0.58,0.703,0.9991,0.0548
theia,ProcessParent,Attention AE,0.9554,0.5293,0.8923,0.58,0.703,0.9991,0.0779
theia,ProcessParent,LSTMAE,0.9494,0.5196,0.8676,0.59,0.7024,0.9991,0.0655
theia,ProcessParent,Robust,0.8789,0.4569,0.7662,0.59,0.6667,0.9989,0.0485
theia,ProcessParent,Contractive,0.9593,0.5357,0.8923,0.58,0.703,0.9991,0.0512
trace,ProcessAll,Baseline,0.9993,0.5915,0.7674,0.7174,0.7416,0.9996,0.0516
trace,ProcessAll,Sparse,0.8388,0.0059,0.0095,0.3043,0.0184,0.9735,0.051
trace,ProcessAll,Deep SVDD,0.8151,0.5334,0.7949,0.6739,0.7294,0.9996,0.0265
trace,ProcessAll,DAE,0.9621,0.0704,0.1867,0.3043,0.2314,0.9984,0.054
trace,ProcessAll,VAE,0.8395,0.0052,0.0086,0.3043,0.0167,0.9707,0.0565
trace,ProcessAll,Beta-VAE,0.8431,0.0052,0.0094,0.3261,0.0184,0.9716,0.058
trace,ProcessAll,GMVAE,0.8454,0.0063,0.0105,0.2826,0.0202,0.9777,0.0551
trace,ProcessAll,Attention AE,0.8398,0.006,0.0099,0.2826,0.019,0.9763,0.0808
trace,ProcessAll,LSTMAE,0.9982,0.4022,0.5,0.6304,0.5577,0.9992,0.0657
trace,ProcessAll,Robust,0.9991,0.5429,0.6739,0.6739,0.6739,0.9995,0.0533
trace,ProcessAll,Contractive,0.8362,0.0064,0.0117,0.2826,0.0225,0.98,0.0511
trace,ProcessEvent,Baseline,0.8802,0.1682,0.2826,0.2826,0.2826,0.9988,0.05
trace,ProcessEvent,Sparse,0.696,0.0016,0.0021,0.5217,0.0043,0.801,0.052
trace,ProcessEvent,Deep SVDD,0.5109,0.008,0.3333,0.0217,0.0408,0.9992,0.025
