Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
clearscope,ProcessParent,Deep SVDD,,0.0,0.0,0.0,0.0,0.0,0.01
clearscope,ProcessParent,DAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Beta-VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,GMVAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Attention AE,,0.0,0.0,0.0,0.0,0.0,0.032
clearscope,ProcessParent,LSTMAE,,0.0,0.0,0.0,0.0,0.0,0.009
clearscope,ProcessParent,Robust,,0.0,0.0,0.0,0.0,0.0,0.008
clearscope,ProcessParent,Contractive,,0.0,0.0,0.0,0.0,0.0,0.008
theia,ProcessAll,Baseline,0.997,0.6742,0.7973,0.59,0.6782,0.999,0.1334
theia,ProcessAll,Sparse,0.9182,0.0132,0.0205,0.66,0.0397,0.9429,0.1203
theia,ProcessAll,Deep SVDD,0.7,0.3332,0.9091,0.4,0.5556,0.9989,0.0587
theia,ProcessAll,DAE,0.9839,0.2549,0.5432,0.44,0.4862,0.9983,0.1248
theia,ProcessAll,VAE,0.9042,0.0098,0.0144,0.67,0.0282,0.9173,0.1255
theia,ProcessAll,Beta-VAE,0.9038,0.0099,0.0144,0.67,0.0282,0.9176,0.1229
theia,ProcessAll,GMVAE,0.9121,0.0112,0.0185,0.66,0.0359,0.9366,0.1226
theia,ProcessAll,Attention AE,0.9195,0.0128,0.021,0.66,0.0407,0.9444,0.6514
theia,ProcessAll,LSTMAE,0.9964,0.5614,0.4884,0.84,0.6176,0.9981,9.9319
theia,ProcessEvent,Baseline,0.9992,0.7519,0.7812,0.75,0.7653,0.9992,0.1251
theia,ProcessEvent,Sparse,0.7232,0.0328,0.0741,0.42,0.1259,0.9892,0.1214
theia,ProcessEvent,Deep SVDD,0.525,0.0421,0.8333,0.05,0.0943,0.9982,0.0554
theia,ProcessEvent,DAE,0.9675,0.2588,0.4839,0.45,0.4663,0.9981,0.1199
theia,ProcessEvent,VAE,0.7104,0.0066,0.0147,0.34,0.0282,0.9568,0.1284
theia,ProcessEvent,Beta-VAE,0.7055,0.007,0.0173,0.4,0.0331,0.9569,0.1223
theia,ProcessEvent,GMVAE,0.724,0.0322,0.0741,0.42,0.1259,0.9892,0.1194
theia,ProcessEvent,Attention AE,0.7337,0.0325,0.0742,0.42,0.1261,0.9893,0.6346
theia,ProcessEvent,LSTMAE,0.9981,0.6362,0.8056,0.58,0.6744,0.999,1.2199
theia,ProcessExec,Baseline,0.9539,0.8659,0.9109,0.92,0.9154,0.9997,0.1165
theia,ProcessExec,Sparse,0.8227,0.0073,0.0101,0.34,0.0197,0.9393,0.1188
theia,ProcessExec,Deep SVDD,0.67,0.3412,1.0,0.34,0.5075,0.9988,0.0541
theia,ProcessExec,DAE,0.9698,0.2437,0.273,0.92,0.4211,0.9955,0.1228
theia,ProcessExec,VAE,0.8136,0.006,0.0088,0.35,0.0171,0.9277,0.1298
theia,ProcessExec,Beta-VAE,0.817,0.0066,0.009,0.38,0.0176,0.9241,0.1233
theia,ProcessExec,GMVAE,0.8287,0.0074,0.0104,0.35,0.0203,0.9393,0.1239
theia,ProcessExec,Attention AE,0.8333,0.0075,0.0104,0.35,0.0203,0.9393,0.6479
theia,ProcessExec,LSTMAE,0.9522,0.8004,0.8762,0.92,0.8976,0.9996,1.2415
theia,ProcessNetflow,Baseline,0.9927,0.9143,0.9083,0.99,0.9474,0.9989,0.025
