Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
trace,ProcessParent_jina,Sparse,0.8724,0.0125,0.25,0.0222,0.0408,0.9991,0.047
trace,ProcessParent_jina,Deep SVDD,0.5111,0.0231,1.0,0.0222,0.0435,0.9992,0.0248
trace,ProcessParent_jina,DAE,0.9347,0.0524,0.0617,0.7778,0.1144,0.9897,0.0462
trace,ProcessParent_jina,VAE,0.8822,0.0145,0.3333,0.0222,0.0417,0.9991,0.055
trace,ProcessParent_jina,Beta-VAE,0.8764,0.0095,0.1111,0.0222,0.037,0.999,0.053
trace,ProcessParent_jina,GMVAE,0.8641,0.0124,0.25,0.0222,0.0408,0.9991,0.0492
trace,ProcessParent_jina,Attention AE,0.8969,0.0178,0.25,0.0222,0.0408,0.9991,0.0725
trace,ProcessParent_jina,LSTMAE,0.9675,0.1626,0.4615,0.1333,0.2069,0.9991,0.0605
trace,ProcessParent_jina,Robust,0.9354,0.2065,0.1362,0.8444,0.2346,0.9953,0.0465
trace,ProcessParent_jina,Contractive,0.868,0.0125,0.25,0.0222,0.0408,0.9991,0.0459
