Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
theia,ProcessNetflow_gte_large,Deep SVDD,0.9946,0.8375,0.9296,0.66,0.7719,0.996,0.008
theia,ProcessNetflow_gte_large,DAE,0.989,0.8138,0.7917,0.95,0.8636,0.9969,0.011
theia,ProcessNetflow_gte_large,VAE,0.9813,0.3892,0.4619,0.91,0.6128,0.9881,0.013
theia,ProcessNetflow_gte_large,Beta-VAE,0.9823,0.4251,0.5061,0.83,0.6288,0.9899,0.013
theia,ProcessNetflow_gte_large,GMVAE,0.9827,0.5428,0.5583,0.91,0.692,0.9916,0.011
theia,ProcessNetflow_gte_large,Attention AE,0.9819,0.5051,0.517,0.91,0.6594,0.9903,0.017
theia,ProcessNetflow_gte_large,LSTMAE,0.9969,0.9334,0.9412,0.96,0.9505,0.999,0.014
theia,ProcessNetflow_gte_large,Robust,0.9902,0.9122,0.8839,0.99,0.934,0.9986,0.012
theia,ProcessNetflow_gte_large,Contractive,0.9811,0.4591,0.5112,0.91,0.6547,0.9901,0.012
theia,ProcessParent_gte_large,Baseline,0.9402,0.3728,0.6941,0.59,0.6378,0.9988,0.0488
theia,ProcessParent_gte_large,Sparse,0.9283,0.0196,0.0224,0.95,0.0437,0.9257,0.05
theia,ProcessParent_gte_large,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0036,0.0018,0.024
theia,ProcessParent_gte_large,DAE,0.7934,0.0797,0.1643,0.59,0.2571,0.9939,0.0493
theia,ProcessParent_gte_large,VAE,0.914,0.0154,0.0207,0.32,0.0388,0.9716,0.0565
theia,ProcessParent_gte_large,Beta-VAE,0.9176,0.0167,0.0213,0.35,0.0402,0.9701,0.055
theia,ProcessParent_gte_large,GMVAE,0.9288,0.0197,0.0224,0.95,0.0437,0.9257,0.0554
theia,ProcessParent_gte_large,Attention AE,0.9241,0.0186,0.0215,0.36,0.0406,0.9695,0.078
theia,ProcessParent_gte_large,LSTMAE,0.6237,0.4309,0.7662,0.59,0.6667,0.9989,0.064
theia,ProcessParent_gte_large,Robust,0.9571,0.335,0.6146,0.59,0.602,0.9986,0.05
theia,ProcessParent_gte_large,Contractive,0.929,0.0197,0.0224,0.95,0.0437,0.9257,0.05
trace,ProcessAll_gte_large,Baseline,0.9995,0.6901,0.8158,0.6739,0.7381,0.9996,0.051
trace,ProcessAll_gte_large,Sparse,0.8179,0.0032,0.0053,0.3043,0.0104,0.953,0.053
trace,ProcessAll_gte_large,Deep SVDD,0.6956,0.2844,0.6429,0.3913,0.4865,0.9993,0.025
trace,ProcessAll_gte_large,DAE,0.9811,0.0516,0.0754,0.5,0.1311,0.9946,0.051
trace,ProcessAll_gte_large,VAE,0.8045,0.0026,0.0037,0.3261,0.0072,0.9272,0.057
trace,ProcessAll_gte_large,Beta-VAE,0.8013,0.0023,0.0036,0.3478,0.0071,0.9206,0.057
trace,ProcessAll_gte_large,GMVAE,0.825,0.0029,0.0038,0.587,0.0076,0.8747,0.055
trace,ProcessAll_gte_large,Attention AE,0.8326,0.0034,0.0057,0.3261,0.0112,0.9529,0.0813
trace,ProcessAll_gte_large,LSTMAE,0.9988,0.4921,0.6066,0.8043,0.6916,0.9994,0.0635
trace,ProcessAll_gte_large,Robust,0.9992,0.4914,0.6078,0.6739,0.6392,0.9994,0.051
trace,ProcessAll_gte_large,Contractive,0.8201,0.0028,0.0038,0.3696,0.0076,0.9214,0.051
trace,ProcessEvent_gte_large,Baseline,0.866,0.143,0.2105,0.2609,0.233,0.9986,0.049
trace,ProcessEvent_gte_large,Sparse,0.6953,0.0023,0.0057,0.1304,0.0109,0.9807,0.051
trace,ProcessEvent_gte_large,Deep SVDD,0.5,0.008,0.3333,0.0217,0.0408,0.9992,0.026
trace,ProcessEvent_gte_large,DAE,0.8293,0.0049,0.0174,0.0435,0.0248,0.9972,0.051
trace,ProcessEvent_gte_large,VAE,0.7045,0.002,0.0032,0.5435,0.0064,0.8627,0.058
trace,ProcessEvent_gte_large,Beta-VAE,0.6988,0.002,0.0043,0.1304,0.0083,0.9747,0.055
trace,ProcessEvent_gte_large,GMVAE,0.699,0.0023,0.0056,0.1304,0.0108,0.9806,0.0562
trace,ProcessEvent_gte_large,Attention AE,0.7143,0.0024,0.0056,0.1304,0.0107,0.9804,0.079
trace,ProcessEvent_gte_large,LSTMAE,0.8788,0.1373,0.2727,0.3913,0.3214,0.9987,0.067
trace,ProcessEvent_gte_large,Robust,0.8855,0.1138,0.2128,0.2174,0.2151,0.9987,0.052
trace,ProcessEvent_gte_large,Contractive,0.6959,0.0023,0.0046,0.1304,0.0088,0.9761,0.0502
trace,ProcessExec_gte_large,Baseline,0.9673,0.724,0.9474,0.8,0.8675,0.9998,0.0512
