Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
theia,ProcessNetflow_qwen2_7b_bnb4bit,GMVAE,0.9855,0.6897,0.9429,0.66,0.7765,0.9961,0.0247
theia,ProcessNetflow_qwen2_7b_bnb4bit,Attention AE,0.0232,0.0067,0.0103,1.0,0.0204,0.0103,0.0993
theia,ProcessNetflow_qwen2_7b_bnb4bit,LSTMAE,0.091,0.0071,0.0103,1.0,0.0205,0.0126,0.0632
theia,ProcessNetflow_qwen2_7b_bnb4bit,Robust,0.9946,0.898,0.9167,0.99,0.9519,0.999,0.0241
theia,ProcessNetflow_qwen2_7b_bnb4bit,Contractive,0.9905,0.5369,0.6689,0.99,0.7984,0.9948,0.0228
theia,ProcessParent_qwen2_7b_bnb4bit,Baseline,0.9404,0.3495,0.6556,0.59,0.6211,0.9987,0.1099
theia,ProcessParent_qwen2_7b_bnb4bit,Sparse,0.9031,0.4406,0.8082,0.59,0.6821,0.999,0.1072
theia,ProcessParent_qwen2_7b_bnb4bit,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0036,0.0018,0.0512
theia,ProcessParent_qwen2_7b_bnb4bit,DAE,0.6104,0.3851,0.6941,0.59,0.6378,0.9988,0.1072
theia,ProcessParent_qwen2_7b_bnb4bit,VAE,0.9213,0.2842,0.6304,0.58,0.6042,0.9986,0.1189
theia,ProcessParent_qwen2_7b_bnb4bit,Beta-VAE,0.9189,0.2756,0.617,0.58,0.5979,0.9986,0.1212
theia,ProcessParent_qwen2_7b_bnb4bit,GMVAE,0.8847,0.0133,0.0197,0.59,0.0382,0.9468,0.1163
theia,ProcessParent_qwen2_7b_bnb4bit,Attention AE,0.3792,0.0043,0.25,0.01,0.0192,0.9982,0.555
