Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
cadets,ProcessParent,Robust,0.9193,0.3104,0.6,0.375,0.4615,0.9998,0.043
cadets,ProcessParent,Contractive,0.9224,0.3757,1.0,0.375,0.5455,0.9999,0.0429
clearscope,ProcessAll,Baseline,0.9921,0.6597,0.8333,0.7692,0.8,0.9979,0.0064
clearscope,ProcessAll,Sparse,0.9587,0.092,0.1538,0.9231,0.2637,0.9725,0.0063
clearscope,ProcessAll,Deep SVDD,0.9948,0.7945,1.0,0.6923,0.8182,0.9984,0.0071
clearscope,ProcessAll,DAE,0.969,0.7106,1.0,0.6923,0.8182,0.9984,0.0069
clearscope,ProcessAll,VAE,0.9628,0.0893,0.1538,0.9231,0.2637,0.9725,0.0085
clearscope,ProcessAll,Beta-VAE,0.9582,0.099,0.1538,0.9231,0.2637,0.9725,0.007
clearscope,ProcessAll,GMVAE,0.9585,0.0915,0.1538,0.9231,0.2637,0.9725,0.0092
clearscope,ProcessAll,Attention AE,0.9881,0.6555,0.8333,0.7692,0.8,0.9979,0.0088
clearscope,ProcessAll,LSTMAE,0.9903,0.6792,0.8333,0.7692,0.8,0.9979,0.0096
clearscope,ProcessAll,Robust,0.9869,0.6739,0.7692,0.7692,0.7692,0.9975,0.0058
clearscope,ProcessAll,Contractive,0.9583,0.0908,0.1538,0.9231,0.2637,0.9725,0.0066
clearscope,ProcessEvent,Baseline,0.9163,0.4081,0.4444,0.6154,0.5161,0.9938,0.0065
clearscope,ProcessEvent,Sparse,0.8716,0.0287,0.0487,0.8462,0.0921,0.9108,0.0076
clearscope,ProcessEvent,Deep SVDD,0.9388,0.5437,0.8571,0.4615,0.6,0.9967,0.0055
clearscope,ProcessEvent,DAE,0.9056,0.2052,1.0,0.1538,0.2667,0.9955,0.0085
clearscope,ProcessEvent,VAE,0.8674,0.0579,0.3333,0.0769,0.125,0.9942,0.0054
clearscope,ProcessEvent,Beta-VAE,0.88,0.0284,0.0379,0.8462,0.0726,0.8845,0.0061
clearscope,ProcessEvent,GMVAE,0.8767,0.0308,0.047,0.8462,0.0891,0.9075,0.0082
clearscope,ProcessEvent,Attention AE,0.8768,0.0308,0.047,0.8462,0.0891,0.9075,0.0063
clearscope,ProcessEvent,LSTMAE,0.9288,0.2971,0.36,0.6923,0.4737,0.9918,0.007
clearscope,ProcessEvent,Robust,0.9529,0.3364,0.4667,0.5385,0.5,0.9942,0.0066
clearscope,ProcessEvent,Contractive,0.8803,0.032,0.0485,0.8462,0.0917,0.9104,0.0078
clearscope,ProcessExec,Baseline,0.989,0.758,0.8333,0.7692,0.8,0.9979,0.0069
clearscope,ProcessExec,Sparse,0.9659,0.0901,0.129,0.9231,0.2264,0.9663,0.0077
clearscope,ProcessExec,Deep SVDD,0.7803,0.7528,1.0,0.6923,0.8182,0.9984,0.0069
clearscope,ProcessExec,DAE,0.8939,0.7175,1.0,0.6923,0.8182,0.9984,0.0063
clearscope,ProcessExec,VAE,0.9641,0.0753,0.1304,0.9231,0.2286,0.9667,0.0077
clearscope,ProcessExec,Beta-VAE,0.9663,0.0802,0.1304,0.9231,0.2286,0.9667,0.0087
clearscope,ProcessExec,GMVAE,0.9659,0.0901,0.129,0.9231,0.2264,0.9663,0.006
clearscope,ProcessExec,Attention AE,0.9811,0.7684,1.0,0.6923,0.8182,0.9984,0.0098
clearscope,ProcessExec,LSTMAE,0.9541,0.762,1.0,0.6923,0.8182,0.9984,0.0083
clearscope,ProcessExec,Robust,0.9712,0.7649,1.0,0.6923,0.8182,0.9984,0.0088
