Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
clearscope,ProcessNetflow,VAE,0.537,0.0464,0.0714,0.3333,0.1176,0.8052,0.006
clearscope,ProcessNetflow,Beta-VAE,0.5571,0.0716,0.25,0.1111,0.1538,0.9524,0.005
clearscope,ProcessNetflow,GMVAE,0.7718,0.4051,0.4545,0.5556,0.5,0.9567,0.007
clearscope,ProcessNetflow,Attention AE,0.7733,0.4012,0.4167,0.5556,0.4762,0.9524,0.009
clearscope,ProcessNetflow,LSTMAE,0.9019,0.4598,0.6667,0.4444,0.5333,0.9697,0.007
clearscope,ProcessNetflow,Robust,0.9034,0.4613,0.6667,0.4444,0.5333,0.9697,0.006
clearscope,ProcessNetflow,Contractive,0.7733,0.3831,0.5714,0.4444,0.5,0.9654,0.009
clearscope,ProcessParent,Baseline,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,Sparse,,0.0,0.0,0.0,0.0,0.0,0.012
clearscope,ProcessParent,Deep SVDD,,0.0,0.0,0.0,0.0,0.0,0.011
clearscope,ProcessParent,DAE,,0.0,0.0,0.0,0.0,0.0,0.006
clearscope,ProcessParent,VAE,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,Beta-VAE,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,GMVAE,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,Attention AE,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,LSTMAE,,0.0,0.0,0.0,0.0,0.0,0.007
clearscope,ProcessParent,Robust,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Contractive,,0.0,0.0,0.0,0.0,0.0,0.005
theia,ProcessAll,Baseline,0.9968,0.5504,0.4783,0.77,0.59,0.9981,0.144
theia,ProcessAll,Sparse,0.8545,0.0075,0.0122,0.62,0.024,0.9099,0.125
theia,ProcessAll,Deep SVDD,0.4999,0.0018,0.0018,1.0,0.0036,0.0018,0.0559
theia,ProcessAll,DAE,0.9754,0.1072,0.2235,0.4,0.2867,0.9964,0.113
theia,ProcessAll,VAE,0.8241,0.0058,0.0081,0.65,0.0161,0.8577,0.1165
theia,ProcessAll,Beta-VAE,0.819,0.0054,0.0078,0.67,0.0155,0.8475,0.117
theia,ProcessAll,GMVAE,0.846,0.0074,0.0124,0.66,0.0244,0.9058,0.116
theia,ProcessAll,Attention AE,0.8139,0.0057,0.0085,0.61,0.0167,0.872,0.6461
theia,ProcessAll,LSTMAE,0.9958,0.4243,0.5802,0.47,0.5193,0.9984,0.9801
theia,ProcessAll,Robust,0.9982,0.6277,0.5634,0.8,0.6612,0.9985,0.1179
theia,ProcessAll,Contractive,0.799,0.0064,0.0118,0.61,0.0232,0.9081,0.114
theia,ProcessEvent,Baseline,0.9988,0.751,0.8333,0.75,0.7895,0.9993,0.11
theia,ProcessEvent,Sparse,0.7272,0.022,0.0532,0.47,0.0955,0.9836,0.1101
theia,ProcessEvent,Deep SVDD,0.57,0.1329,0.9333,0.14,0.2435,0.9984,0.061
theia,ProcessEvent,DAE,0.9409,0.1192,0.2267,0.68,0.34,0.9951,0.1306
theia,ProcessEvent,VAE,0.6346,0.0028,0.0035,0.58,0.007,0.6985,0.114
theia,ProcessEvent,Beta-VAE,0.6236,0.0027,0.0043,0.09,0.0081,0.9595,0.1147
theia,ProcessEvent,GMVAE,0.7577,0.0267,0.0505,0.47,0.0913,0.9827,0.1109
theia,ProcessEvent,Attention AE,0.7608,0.0267,0.0505,0.47,0.0913,0.9827,0.7347
theia,ProcessEvent,LSTMAE,0.9971,0.6529,0.7692,0.7,0.733,0.9991,1.0877
theia,ProcessEvent,Robust,0.9989,0.7569,0.8,0.8,0.8,0.9993,0.1332
theia,ProcessEvent,Contractive,0.7644,0.0289,0.0635,0.6,0.1148,0.9829,0.1283
theia,ProcessExec,Baseline,0.976,0.7656,0.7931,0.92,0.8519,0.9994,0.1379
theia,ProcessExec,Sparse,0.8003,0.0061,0.0077,0.53,0.0152,0.8766,0.1441
theia,ProcessExec,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0036,0.0018,0.06
theia,ProcessExec,DAE,0.9442,0.0612,0.0811,0.93,0.1492,0.981,0.1372
theia,ProcessExec,VAE,0.783,0.0047,0.0068,0.52,0.0134,0.8627,0.1405
theia,ProcessExec,Beta-VAE,0.782,0.0048,0.0067,0.53,0.0132,0.8581,0.139
