Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
clearscope,ProcessExec,VAE,0.9441,0.0961,0.129,0.9231,0.2264,0.9663,0.006
clearscope,ProcessExec,Beta-VAE,0.9489,0.1127,0.129,0.9231,0.2264,0.9663,0.006
clearscope,ProcessExec,GMVAE,0.938,0.0764,0.129,0.9231,0.2264,0.9663,0.006
clearscope,ProcessExec,Attention AE,0.9534,0.7491,1.0,0.6923,0.8182,0.9984,0.006
clearscope,ProcessExec,LSTMAE,0.9676,0.7481,1.0,0.6923,0.8182,0.9984,0.006
clearscope,ProcessExec,Robust,0.9854,0.7475,1.0,0.6923,0.8182,0.9984,0.005
clearscope,ProcessExec,Contractive,0.937,0.0881,0.129,0.9231,0.2264,0.9663,0.005
clearscope,ProcessNetflow,Baseline,0.9695,0.6402,0.6667,0.6667,0.6667,0.974,0.004
clearscope,ProcessNetflow,Sparse,0.7608,0.1968,0.2632,0.5556,0.3571,0.9221,0.003
clearscope,ProcessNetflow,Deep SVDD,0.984,0.6896,0.8571,0.6667,0.75,0.9827,0.003
clearscope,ProcessNetflow,DAE,0.8428,0.3273,1.0,0.2222,0.3636,0.9697,0.004
clearscope,ProcessNetflow,VAE,0.7202,0.1155,0.1923,0.5556,0.2857,0.8918,0.004
clearscope,ProcessNetflow,Beta-VAE,0.6326,0.0991,0.2857,0.2222,0.25,0.9481,0.004
clearscope,ProcessNetflow,GMVAE,0.7513,0.1663,0.2,0.5556,0.2941,0.8961,0.004
clearscope,ProcessNetflow,Attention AE,0.9394,0.459,0.3529,0.6667,0.4615,0.9394,0.004
clearscope,ProcessNetflow,LSTMAE,0.8749,0.3451,1.0,0.2222,0.3636,0.9697,0.004
clearscope,ProcessNetflow,Robust,0.9424,0.3882,0.3333,0.6667,0.4444,0.9351,0.005
clearscope,ProcessNetflow,Contractive,0.7548,0.1827,0.2727,0.3333,0.3,0.9394,0.004
clearscope,ProcessParent,Baseline,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,Sparse,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Deep SVDD,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,DAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Beta-VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,GMVAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Attention AE,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,LSTMAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Robust,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Contractive,,0.0,0.0,0.0,0.0,0.0,0.004
theia,ProcessAll,Baseline,0.9984,0.6491,0.6881,0.75,0.7177,0.9989,0.0499
theia,ProcessAll,Sparse,0.6256,0.0024,0.0031,0.73,0.0062,0.5817,0.0524
theia,ProcessAll,Deep SVDD,0.5898,0.0847,0.5,0.18,0.2647,0.9982,0.0245
theia,ProcessAll,DAE,0.9844,0.0874,0.1308,0.34,0.1889,0.9948,0.0452
theia,ProcessAll,VAE,0.6078,0.0022,0.0028,0.92,0.0056,0.4179,0.05
theia,ProcessAll,Beta-VAE,0.6279,0.0023,0.0031,0.73,0.0061,0.5738,0.05
theia,ProcessAll,GMVAE,0.997,0.4797,0.4777,0.75,0.5837,0.9981,0.0557
theia,ProcessAll,Attention AE,0.6373,0.0025,0.0033,0.45,0.0066,0.7566,0.0578
theia,ProcessAll,LSTMAE,0.9965,0.427,0.4684,0.89,0.6138,0.998,0.0501
theia,ProcessAll,Robust,0.9984,0.5603,0.6591,0.58,0.617,0.9987,0.0464
theia,ProcessAll,Contractive,0.6411,0.0025,0.0034,0.44,0.0067,0.767,0.0443
theia,ProcessEvent,Baseline,0.9987,0.61,0.5644,0.92,0.6996,0.9985,0.0431
theia,ProcessEvent,Sparse,0.6858,0.0139,0.0284,0.39,0.053,0.9743,0.041
theia,ProcessEvent,Deep SVDD,0.53,0.0496,0.8571,0.06,0.1121,0.9982,0.0216
theia,ProcessEvent,DAE,0.935,0.1094,0.1715,0.65,0.2714,0.9936,0.042
theia,ProcessEvent,VAE,0.6486,0.0032,0.0055,0.37,0.0109,0.8764,0.0498
