Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
theia,ProcessParent,Sparse,0.9452,0.0384,0.0516,0.95,0.0979,0.9687,0.0485
theia,ProcessParent,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0036,0.0018,0.0246
theia,ProcessParent,DAE,0.9571,0.2423,0.3882,0.59,0.4683,0.9976,0.0495
theia,ProcessParent,VAE,0.9424,0.0325,0.0451,0.94,0.086,0.9643,0.0531
theia,ProcessParent,Beta-VAE,0.9434,0.0307,0.0434,0.92,0.083,0.9636,0.053
theia,ProcessParent,GMVAE,0.947,0.0392,0.053,0.95,0.1004,0.9695,0.055
theia,ProcessParent,Attention AE,0.9494,0.0384,0.0516,0.95,0.0979,0.9687,0.0846
theia,ProcessParent,LSTMAE,0.6313,0.4249,0.7284,0.59,0.6519,0.9989,0.0633
theia,ProcessParent,Robust,0.9357,0.3152,0.5175,0.59,0.5514,0.9983,0.0484
theia,ProcessParent,Contractive,0.9494,0.0384,0.0516,0.95,0.0979,0.9687,0.0479
trace,ProcessAll,Baseline,0.9994,0.6327,0.766,0.7826,0.7742,0.9996,0.0511
trace,ProcessAll,Sparse,0.9025,0.0254,0.0511,0.2609,0.0854,0.9954,0.05
trace,ProcessAll,Deep SVDD,0.8586,0.598,0.7857,0.7174,0.75,0.9996,0.0264
trace,ProcessAll,DAE,0.9676,0.165,0.3548,0.4783,0.4074,0.9989,0.053
trace,ProcessAll,VAE,0.9027,0.0193,0.0373,0.5652,0.07,0.9878,0.0561
trace,ProcessAll,Beta-VAE,0.9139,0.0199,0.0371,0.587,0.0699,0.9873,0.0563
trace,ProcessAll,GMVAE,0.9367,0.0226,0.0535,0.587,0.098,0.9912,0.063
trace,ProcessAll,Attention AE,0.8989,0.0356,0.0573,0.4783,0.1023,0.9932,0.0791
trace,ProcessAll,LSTMAE,0.9988,0.5516,0.7838,0.6304,0.6988,0.9996,0.0665
trace,ProcessAll,Robust,0.9991,0.506,0.5781,0.8043,0.6727,0.9994,0.0515
trace,ProcessAll,Contractive,0.905,0.0342,0.055,0.6087,0.1009,0.9912,0.0505
trace,ProcessEvent,Baseline,0.8723,0.1427,0.3103,0.1957,0.24,0.999,0.0505
trace,ProcessEvent,Sparse,0.6765,0.0014,0.0018,0.4783,0.0037,0.7885,0.0514
trace,ProcessEvent,Deep SVDD,0.5108,0.0117,0.5,0.0217,0.0417,0.9992,0.0265
trace,ProcessEvent,DAE,0.7608,0.002,0.003,0.6087,0.006,0.8366,0.0508
trace,ProcessEvent,VAE,0.6076,0.0011,0.0017,0.5217,0.0034,0.7476,0.057
trace,ProcessEvent,Beta-VAE,0.6019,0.0011,0.0016,0.5,0.0032,0.7441,0.0569
trace,ProcessEvent,GMVAE,0.5295,0.001,0.0016,0.2174,0.0032,0.8903,0.0545
trace,ProcessEvent,Attention AE,0.582,0.0011,0.0016,0.5,0.0032,0.7443,0.0815
trace,ProcessEvent,LSTMAE,0.8688,0.128,0.2212,0.5435,0.3145,0.9981,0.065
trace,ProcessEvent,Robust,0.8933,0.1257,0.2667,0.2609,0.2637,0.9988,0.051
trace,ProcessEvent,Contractive,0.5955,0.0011,0.0017,0.5,0.0034,0.7621,0.0495
trace,ProcessExec,Baseline,0.9632,0.7715,0.8372,0.8,0.8182,0.9997,0.049
trace,ProcessExec,Sparse,0.7689,0.0045,0.0476,0.0222,0.0303,0.9988,0.0474
trace,ProcessExec,Deep SVDD,0.9,0.7615,0.973,0.8,0.878,0.9998,0.024
trace,ProcessExec,DAE,0.8808,0.0086,0.0435,0.0667,0.0526,0.998,0.0481
trace,ProcessExec,VAE,0.7813,0.0026,0.0077,0.0444,0.0131,0.9944,0.053
trace,ProcessExec,Beta-VAE,0.7825,0.0026,0.0092,0.0222,0.013,0.9972,0.0525
trace,ProcessExec,GMVAE,0.7763,0.0062,0.1667,0.0222,0.0392,0.9991,0.0591
trace,ProcessExec,Attention AE,0.7861,0.0038,0.0455,0.0222,0.0299,0.9988,0.079
trace,ProcessExec,LSTMAE,0.9567,0.6142,0.7632,0.6444,0.6988,0.9995,0.0635
trace,ProcessExec,Robust,0.9738,0.688,0.7895,0.6667,0.7229,0.9996,0.0495
trace,ProcessExec,Contractive,0.6218,0.0034,0.0217,0.0667,0.0328,0.9967,0.0475
trace,ProcessNetflow,Baseline,0.963,0.3601,0.4,0.9444,0.562,0.9606,0.005
trace,ProcessNetflow,Sparse,0.9059,0.2159,0.2214,0.8611,0.3523,0.9152,0.004
trace,ProcessNetflow,Deep SVDD,0.9884,0.6744,0.7273,0.8889,0.8,0.9881,0.004
trace,ProcessNetflow,DAE,0.9243,0.2433,0.2358,0.8056,0.3648,0.9249,0.005
trace,ProcessNetflow,VAE,0.8985,0.157,0.1639,0.8333,0.274,0.8818,0.005
trace,ProcessNetflow,Beta-VAE,0.8907,0.1366,0.1471,0.6944,0.2427,0.884,0.005
trace,ProcessNetflow,GMVAE,0.9836,0.5104,0.6905,0.8056,0.7436,0.9851,0.005
