Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
clearscope,ProcessNetflow,VAE,0.2558,0.0272,0.0407,1.0,0.0783,0.0823,0.0044
clearscope,ProcessNetflow,Beta-VAE,0.497,0.0442,0.0526,0.7778,0.0986,0.4459,0.004
clearscope,ProcessNetflow,GMVAE,0.7833,0.3386,1.0,0.2222,0.3636,0.9697,0.004
clearscope,ProcessNetflow,Attention AE,0.8108,0.3535,0.4286,0.3333,0.375,0.9567,0.007
clearscope,ProcessNetflow,LSTMAE,0.8749,0.5072,0.8,0.4444,0.5714,0.974,0.009
clearscope,ProcessNetflow,Robust,0.9585,0.5558,0.6667,0.4444,0.5333,0.9697,0.004
clearscope,ProcessNetflow,Contractive,0.7843,0.3398,1.0,0.2222,0.3636,0.9697,0.004
clearscope,ProcessParent,Baseline,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,Sparse,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,Deep SVDD,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,DAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,VAE,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,Beta-VAE,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,GMVAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Attention AE,,0.0,0.0,0.0,0.0,0.0,0.007
clearscope,ProcessParent,LSTMAE,,0.0,0.0,0.0,0.0,0.0,0.006
clearscope,ProcessParent,Robust,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Contractive,,0.0,0.0,0.0,0.0,0.0,0.005
theia,ProcessAll,Baseline,0.997,0.6831,0.8116,0.56,0.6627,0.999,0.1493
theia,ProcessAll,Sparse,0.9012,0.0107,0.0204,0.67,0.0396,0.9419,0.1255
theia,ProcessAll,Deep SVDD,0.505,0.0032,0.1429,0.01,0.0187,0.9981,0.055
theia,ProcessAll,DAE,0.972,0.0806,0.1644,0.36,0.2257,0.9956,0.122
theia,ProcessAll,VAE,0.8829,0.0081,0.0119,0.68,0.0234,0.8987,0.1275
theia,ProcessAll,Beta-VAE,0.8801,0.0078,0.0121,0.69,0.0238,0.8989,0.128
theia,ProcessAll,GMVAE,0.8639,0.0085,0.0154,0.61,0.03,0.9295,0.13
theia,ProcessAll,Attention AE,0.8957,0.0102,0.0164,0.67,0.032,0.9275,0.68
theia,ProcessAll,LSTMAE,0.9961,0.5773,0.7465,0.53,0.6199,0.9988,7.088
theia,ProcessAll,Robust,0.9981,0.713,0.8769,0.57,0.6909,0.9991,0.1393
theia,ProcessAll,Contractive,0.905,0.01,0.0151,0.82,0.0296,0.9041,0.1361
theia,ProcessEvent,Baseline,0.9987,0.6818,0.7525,0.76,0.7562,0.9991,0.1363
theia,ProcessEvent,Sparse,0.7291,0.0155,0.0452,0.47,0.0825,0.9807,0.1344
theia,ProcessEvent,Deep SVDD,0.505,0.0043,0.25,0.01,0.0192,0.9981,0.0611
theia,ProcessEvent,DAE,0.9287,0.059,0.1272,0.73,0.2166,0.9903,0.1415
theia,ProcessEvent,VAE,0.7023,0.0046,0.0109,0.42,0.0213,0.9289,0.1391
theia,ProcessEvent,Beta-VAE,0.7068,0.0048,0.0105,0.41,0.0204,0.9274,0.1396
theia,ProcessEvent,GMVAE,0.717,0.0099,0.0429,0.07,0.0532,0.9954,0.1432
